# 泰深输入法专业词库 — computer
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
火蜂	huofeng
外壳脚本	waikejiaoben
布尔表达式	buerbiaodashi
朱迪矩陣	zhudijuzhen
騰訊會議	tengxunhuiyi
抽象機器	chouxiangjiqi
过程式编程	guochengshibiancheng
预处理器	yuchuliqi
問題描述	wentimiaoshu
犯罪软件	fanzuiruanjian
人工神经网络	rengongshenjingwangluo
架构描述语言	jiagoumiaoshuyuyan
网络攻击	wangluogongji
计算机模拟	jisuanjimoni
助憶碼	zhuyima
人工智能监管	rengongzhinengjianguan
免費軟體	mianfeiruanti
邏輯編程	luojibiancheng
量子轨迹理论	liangziguijililun
幻觉	huanjue
正则表达式	zhengzebiaodashi
动态链接器	dongtailianjieqi
宇宙的轮回	yuzhoudelunhui
自解壓縮檔	zijieyasuodang
色彩意象	secaiyixiang
音訊壓縮	yinxunyasuo
柯氏复杂性	keshifuzaxing
系统监视器	xitongjianshiqi
個人軟體程序	gerenruantichengxu
受控词表	shoukongcibiao
可废止推理	kefeizhituili
仓颉编程语言	cangjiebianchengyuyan
軟體組成分析	ruantizuchengfenxi
智慧型電池	zhihuixingdianchi
苏丹函数	sudanhanshu
阶跃星辰	jieyuexingchen
鸿蒙内核	hongmengneihe
赫布理论	hebulilun
惠特尼不等式	huitenibudengshi
应用程序	yingyongchengxu
知覺控制理論	zhijuekongzhililun
打酱游	dajiangyou
傻瓜码	shaguama
無人地面載具	wurendimianzaiju
逼近理论	bijinlilun
同步式编程	tongbushibiancheng
编译期	bianyiqi
绿色守护	lvseshouhu
软件事务内存	ruanjianshiwuneicun
群組關鍵字	qunzuguanjianzi
天际线运算	tianjixianyunsuan
上昇時間	shangshengshijian
红黑树	hongheishu
生成艺术	shengchengyishu
抽象释义	chouxiangshiyi
置信度传播	zhixinduchuanbo
