# 泰深输入法专业词库 — philosophy
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
元科学	yuankexue
政治理论史	zhengzhililunshi
規範科學	guifankexue
论衡	lunheng
实用主义	shiyongzhuyi
西方哲学	xifangzhexue
形式主义	xingshizhuyi
思维规律	siweiguilv
宪政主义	xianzhengzhuyi
同意	tongyi
空位時代	kongweishidai
归纳推理	guinatuili
新统	xintong
義	yi
财富	caifu
经院哲学	jingyuanzhexue
正義即公平	zhengyijigongping
自由人联合体	ziyourenlianheti
斯梅爾悖論	simeierbeilun
語言相對論	yuyanxiangduilun
后现代状态	houxiandaizhuangtai
元知识	yuanzhishi
反動的修辭	fandongdexiuci
反抗者	fankangzhe
形式主義美學	xingshizhuyimeixue
杨祖陶	yangzutao
活力	huoli
建筑美学	jianzhumeixue
偶因論	ouyinlun
波拿巴主义	bonabazhuyi
蒙培元	mengpeiyuan
泛斯拉夫主義	fansilafuzhuyi
憐憫	lianmin
一分为二	yifenweier
道德原則研究	daodeyuanzeyanjiu
理查德悖论	lichadebeilun
单子	danzi
社会特权	shehuitequan
媒介即訊息	meijiejixunxi
协商民主	xieshangminzhu
构想	gouxiang
道德罪惡	daodezuie
君權神授說	junquanshenshoushuo
万物流变	wanwuliubian
品味	pinwei
道德运气	daodeyunqi
生态中心主义	shengtaizhongxinzhuyi
戰爭哲學	zhanzhengzhexue
反动	fandong
进步	jinbu
自相	zixiang
柄谷行人	bingguxingren
身心靈	shenxinling
张颐	zhangyi
规范性	guifanxing
有效性	youxiaoxing
心灵实体	xinlingshiti
聖嘉耶當	shengjiayedang
東方哲學	dongfangzhexue
随机鹦鹉	suijiyingwu
存有	cunyou
对话	duihua
真理与方法	zhenliyufangfa
副现象主义	fuxianxiangzhuyi
论出版自由	lunchubanziyou
愛爾蘭問題	aierlanwenti
軸心世紀	zhouxinshiji
民粹主義	mincuizhuyi
正義	zhengyi
泛靈論	fanlinglun
直接民權	zhijieminquan
連鎖悖論	liansuobeilun
神仙方术	shenxianfangshu
论语言的起源	lunyuyandeqiyuan
異鄉人	yixiangren
論自願爲奴	lunziyuanweinu
彭罗斯阶梯	pengluosijieti
信	xin
系统合理化	xitonghelihua
