# 泰深输入法专业词库 — physics
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
固体通讯	gutitongxun
高斯磁定律	gaosicidinglv
于敏构型	yumingouxing
乌佐效应	wuzuoxiaoying
相對論質心	xiangduilunzhixin
拉乌尔定律	lawuerdinglv
宇宙化學	yuzhouhuaxue
中子電偶極矩	zhongzidianoujiju
扭转	niuzhuan
軸	zhou
准相位匹配	zhunxiangweipipei
重子列表	zhongziliebiao
赛克勒奖	saikeleijiang
辐射平衡	fushepingheng
自擴散	zikuosan
火花隙	huohuaxi
六自由度	liuziyoudu
質量層化	zhiliangcenghua
廣義座標	guangyizuobiao
機械力學	jixielixue
玻茨模型	bocimoxing
科里奧利效應	keliaolixiaoying
巴羅鏡	baluojing
唯象理论	weixianglilun
波茲曼常數	bozimanchangshu
应用力学	yingyonglixue
反相对论	fanxiangduilun
模数	moshu
奇蹟年論文	qijinianlunwen
汪子丹	wangzidan
断裂韧性	duanlierenxing
纳米	nami
原子核物理学	yuanzihewulixue
普羅稜鏡	puluolengjing
列平杰效應	liepingjiexiaoying
跨音速	kuayinsu
哥本哈根詮釋	gebenhagenquanshi
馮紐曼熵	fengniumanshang
非线性光学	feixianxingguangxue
摩擦力矩	mocaliju
蓝冰	lanbing
磁拓撲	cituopu
理论物理学	lilunwulixue
手持激光器	shouchijiguangqi
總能	zongneng
贗純量	yanchunliang
石	shi
奇迹年	qijinian
量子相變	liangzixiangbian
多色性	duosexing
电子泡沫	dianzipaomo
多方球	duofangqiu
理论物理通讯	lilunwulitongxun
相互作用点	xianghuzuoyongdian
结构色	jiegouse
机械效率	jixiexiaolv
翹翹板機制	qiaoqiaobanjizhi
光子钟	guangzizhong
准粒子列表	zhunliziliebiao
本征激发	benzhengjifa
八重道	bazhongdao
莫里斯方法	molisifangfa
澤米	zemi
等離子炮	denglizipao
三維空間	sanweikongjian
反應坐標	fanyingzuobiao
开尔文方程	kaierwenfangcheng
克努森容器	kenusenrongqi
電弱交互作用	dianruojiaohuzuoyong
应变	yingbian
熱庫	reku
阿佩尔方程	apeierfangcheng
杨驰	yangchi
衍射	yanshe
连通器	liantongqi
光度距離	guangdujuli
馬倫哥尼效應	malungenixiaoying
热力学系统	relixuexitong
物理学家	wulixuejia
粒子	lizi
肖敏	xiaomin
绝对欧姆	jueduioumu
小体论	xiaotilun
扭量理论	niulianglilun
埃瓦尔德球	aiwaerdeqiu
真緲子偶素	zhenmiaoziousu
量子化	liangzihua
樱井奖	yingjingjiang
农历十月	nonglishiyue
軌道運動	guidaoyundong
宇宙微波背景	yuzhouweibobeijing
准分子激光	zhunfenzijiguang
能量均分定理	nengliangjunfendingli
光速可變理論	guangsukebianlilun
不确定性	buquedingxing
牵引力	qianyinli
軌跡	guiji
格波	gebo
状态密度	zhuangtaimidu
高溫爐	gaowenlu
大气电学	daqidianxue
奥斯特奖章	aositejiangzhang
韦伯	weibo
数值孔径	shuzhikongjing
电压表	dianyabiao
寶麗來	baolilai
閃燃	shanran
座標時	zuobiaoshi
達朗貝爾原理	dalangbeieryuanli
麦克斯韦妖	maikesiweiyao
肯迪	kendi
隧穿电离	suichuandianli
凝固点降低	ninggudianjiangdi
氣壓計輝光	qiyajihuiguang
糾纏熵	jiuchanshang
瑞利距离	ruilijuli
自由黎曼氣體	ziyoulimanqiti
圆锥摆	yuanzhuibai
玻色子	bosezi
辐射度	fushedu
地质力学	dizhilixue
受体	shouti
电流模电路	dianliumodianlu
小满	xiaoman
後牛頓形式論	houniudunxingshilun
核天体物理学	hetiantiwulixue
金屬銨	jinshuan
李立峰	lilifeng
介观物理学	jieguanwulixue
復合	fuhe
螺纹接点	luowenjiedian
